name,website,status,lead_score,why_now,buyer_signals,n_buyer_signals,revenue_trend,cause_area,size_band,annual_revenue,currency,fiscal_year,hq_location,country,registration_id,executive_name,executive_title,executive_email,fundraising_name,fundraising_title,fundraising_email,finance_name,finance_title,finance_email,operations_it_name,operations_it_title,operations_it_email,general_email,general_phone,tech_stack,donor_crm,n_open_rfps,n_buying_signal_roles,n_recent_news,latest_news_date,flags,extracted_at,profile_json
charity: water,https://www.charitywater.org/,ok,0,No active timing signals; nurture.,,0,declining (-15% 2022->2025),human_services,>$50M,82267852,USD,2025,"Franklin, TN",US,22-3936753,Scott Harrison,Founder & Chief executive officer,,Ben Greene,Chief Revenue Officer,,John Passauer,Chief Financial Officer,,Christa Stelzmuller,Chief Technology Officer,,info@charitywater.org,1 (646) 688-2323,,,0,0,0,,registry_match:ein,2026-09-25T21:59:38+00:00,output/charitywater-org.json
"Community Outreach Group, Inc.",https://www.communityoutreachgroupinc.com/,ok,-1,No active timing signals; nurture. Fit: revenue under $500k (limited budget).,,0,stable (+4% 2022->2025),human_services,<$500k,242847,USD,2025,"Middletown, NJ",US,22-3689974,,,,,,,,,,,,,monmouthcog@yahoo.com,732-671-0550,PayPal Giving,,0,0,0,,registry_match:name,2026-09-25T22:00:01+00:00,output/communityoutreachgroupinc-com.json
RSPB,https://www.rspb.org.uk/,ok,3,Why now: technology investment (2026-09-25): Developed new Biodiversity Net Gain projects and biodiversity units for sale to developers.,technology_investment: Developed new Biodiversity Net Gain projects and biodiversity units for sale to developers (2026-09-25),1,unknown,environment,unknown,,,,"Sandy, SG19 2DL",GB,207076,,,,,,,,,,,,,membership@rspb.org.uk,01767 669700,,,0,0,8,2026-09-25,,2026-09-25T22:00:14+00:00,output/rspb-org-uk.json
Loaves and Fishes Community Food Pantry,https://lfcfp.org/,partial,0,"Why now: revenue +70% (2022->2025, IRS filings). Fit: revenue under $500k (limited budget).",,0,growing (+70% 2022->2025),human_services,<$500k,116218,USD,2025,,,83-3823198,,,,,,,,,,,,,,,,,0,0,0,,registry_match:name,2026-09-25T22:00:40+00:00,output/lfcfp-org.json
,,failed,0,No active timing signals; nurture.,,0,unknown,,unknown,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,2026-09-25T22:01:36+00:00,output/habitat-for-humantiy.json
,,failed,0,No active timing signals; nurture.,,0,unknown,,unknown,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,2026-09-25T22:01:36+00:00,output/this-charity-does-not-exist-4821-org.json
Basecamp,https://basecamp.com/,partial,0,Not scored: the site doesn't look like a nonprofit; check before outreach.,"technology_investment: Release of Basecamp 5 in 2026, a major upgrade with new features and improvements. (2026); technology_investment: Basecamp is bringing AI agents to their platform.",2,unknown,,unknown,,,,,,,Jason Fried,Co-founder & CEO,jason@basecamp.com,,,,,,,,,,jason@basecamp.com,,Mailchimp,,0,0,0,,not_a_nonprofit?,2026-09-25T22:01:46+00:00,output/basecamp-com.json
Habitat for Humanity,https://www.habitat.org/,ok,6,Why now: leadership change (2026-09): Appointment of Johann Fernando as chief operating officer; expansion (2026): Nissan partners with 10 Habitat affiliates across the US and donates work trucks to support home building projects; major grant (2026-09): Wells Fargo invests $1.5 million for innovative home construction in rural communities; funding growth (2026): State Farm continues national partnership with funding to support youth engagement and resilient housing during 50th anniversary. Fit: uses Blackbaud Luminate Online (migration target).,leadership_change: Appointment of Johann Fernando as chief operating officer (2026-09); leadership_change: Appointment of Craig Molyneaux as chief financial and administration officer (2026-09); major_grant: Wells Fargo invests $1.5 million for innovative home construction in rural communities (2026-09); major_grant: Wells Fargo Foundation awards $6.3 million in grant funding for build and repair projects in the U.S. (2026); funding_growth: State Farm continues national partnership with funding to support youth engagement and resilient housing during 50th anniversary (2026); funding_growth: J.M. Huber Corporation renewing partnership with commitments to increase equitable access to affordable homeownership (2026-09); expansion: Nissan partners with 10 Habitat affiliates across the US and donates work trucks to support home building projects (2026),7,declining (-16% 2022->2025),international,>$50M,370010910,USD,2025,"Americus, GA",US,91-1914868,Jonathan Reckford,Chief Executive Officer,,Tolli Love,Chief Development Officer,,Craig Molyneaux,Chief Financial and Administration Officer,,,,,campaign@habitat.org,(800) 422-4828,Blackbaud Luminate Online; Drupal,Blackbaud Luminate Online,0,0,8,2026-09,"cause_area_disagreement:site=human_services,registry=international; registry_match:ein",2026-09-25T22:02:12+00:00,output/habitat-org.json
,,failed,0,No active timing signals; nurture.,,0,unknown,,unknown,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,2026-09-25T22:02:50+00:00,output/alleganfoundation-org.json
Community Foundation Serving Western Virginia,https://www.cfwesternva.org/,ok,4,"Why now: strategic plan (2026-10): Inviting nonprofit leaders to participate in pilot learning community focused on fundraising strategy and leadership development, with application period Oct 1-22, 2026. Fit: revenue $13.3M in target band; direct email for Carly C. Oliver (President/CEO).","strategic_plan: Inviting nonprofit leaders to participate in pilot learning community focused on fundraising strategy and leadership development, with application period Oct 1-22, 2026. (2026-10)",1,stable (+9% 2022->2025),philanthropy,$5M-$50M,13341807,USD,2025,"Roanoke, VA",US,54-1959458,Carly C. Oliver,President/CEO,carly@cfwesternva.org,Michelle Eberly,"Director, Grants & Donor Engagement",michelle@cfwesternva.org,Beth Kelley,Chief Financial Officer,beth@cfwesternva.org,April Haynes,Chief Operating Officer,april@cfwesternva.org,carly@cfwesternva.org,540.985.0204,Constant Contact; WordPress,,0,0,0,,registry_match:ein,2026-09-25T22:03:35+00:00,output/cfwesternva-org.json
